PRISM Time Series Data
Location:  Lat: 47.4785   Lon: -120.8192   Elev: 5804ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2021-05-15 - 2022-10-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2021-05-15,0.00,49.2
2021-05-16,0.00,52.9
2021-05-17,0.00,53.5
2021-05-18,0.07,40.6
2021-05-19,0.14,31.3
2021-05-20,0.03,31.4
2021-05-21,0.32,32.2
2021-05-22,0.04,39.2
2021-05-23,0.00,42.8
2021-05-24,0.00,40.6
2021-05-25,0.00,39.7
2021-05-26,0.21,41.5
2021-05-27,0.00,46.0
2021-05-28,0.29,37.3
2021-05-29,0.21,36.8
2021-05-30,0.00,46.2
2021-05-31,0.00,53.5
2021-06-01,0.00,57.7
2021-06-02,0.00,64.1
2021-06-03,0.00,63.8
2021-06-04,0.00,56.8
2021-06-05,0.00,47.5
2021-06-06,0.11,34.1
2021-06-07,0.09,31.1
2021-06-08,0.03,35.4
2021-06-09,0.02,38.7
2021-06-10,0.00,39.6
2021-06-11,0.00,38.1
2021-06-12,0.07,38.6
2021-06-13,0.06,47.3
2021-06-14,0.37,49.5
2021-06-15,0.15,45.1
2021-06-16,0.01,40.9
2021-06-17,0.00,47.5
2021-06-18,0.00,53.8
2021-06-19,0.00,56.6
2021-06-20,0.00,53.8
2021-06-21,0.00,57.7
2021-06-22,0.00,63.6
2021-06-23,0.00,61.8
2021-06-24,0.00,59.8
2021-06-25,0.00,61.7
2021-06-26,0.00,66.3
2021-06-27,0.00,72.6
2021-06-28,0.00,76.2
2021-06-29,0.00,79.0
2021-06-30,0.00,78.6
2021-07-01,0.00,67.8
2021-07-02,0.00,59.2
2021-07-03,0.00,58.4
2021-07-04,0.00,62.5
2021-07-05,0.00,60.6
2021-07-06,0.00,61.6
2021-07-07,0.00,65.7
2021-07-08,0.00,54.9
2021-07-09,0.00,56.5
2021-07-10,0.00,62.1
2021-07-11,0.00,61.7
2021-07-12,0.00,62.2
2021-07-13,0.00,63.7
2021-07-14,0.00,66.1
2021-07-15,0.00,61.7
2021-07-16,0.00,56.2
2021-07-17,0.00,51.3
2021-07-18,0.00,55.9
2021-07-19,0.00,60.1
2021-07-20,0.00,61.2
2021-07-21,0.00,54.6
2021-07-22,0.00,48.0
2021-07-23,0.00,52.1
2021-07-24,0.00,56.4
2021-07-25,0.00,63.0
2021-07-26,0.00,63.2
2021-07-27,0.00,63.8
2021-07-28,0.00,61.9
2021-07-29,0.00,64.6
2021-07-30,0.00,68.8
2021-07-31,0.00,74.6
2021-08-01,0.07,68.9
2021-08-02,0.07,64.1
2021-08-03,0.00,67.6
2021-08-04,0.22,67.9
2021-08-05,0.00,67.9
2021-08-06,0.00,60.6
2021-08-07,0.02,56.1
2021-08-08,0.00,49.7
2021-08-09,0.00,46.0
2021-08-10,0.00,55.9
2021-08-11,0.00,62.9
2021-08-12,0.00,72.1
2021-08-13,0.00,72.2
2021-08-14,0.00,72.6
2021-08-15,0.00,70.7
2021-08-16,0.00,68.1
2021-08-17,0.00,55.1
2021-08-18,0.00,45.1
2021-08-19,0.00,54.4
2021-08-20,0.00,55.4
2021-08-21,0.05,50.4
2021-08-22,0.02,49.2
2021-08-23,0.00,44.2
2021-08-24,0.00,44.3
2021-08-25,0.00,50.7
2021-08-26,0.00,54.3
2021-08-27,0.00,49.0
2021-08-28,0.00,46.9
2021-08-29,0.00,55.2
2021-08-30,0.00,58.4
2021-08-31,0.00,45.6
2021-09-01,0.00,38.9
2021-09-02,0.00,46.0
2021-09-03,0.00,52.1
2021-09-04,0.00,55.0
2021-09-05,0.00,57.9
2021-09-06,0.00,57.0
2021-09-07,0.00,57.1
2021-09-08,0.00,63.0
2021-09-09,0.00,58.9
2021-09-10,0.00,59.2
2021-09-11,0.09,48.5
2021-09-12,0.01,51.3
2021-09-13,0.00,48.7
2021-09-14,0.00,48.0
2021-09-15,0.00,52.3
2021-09-16,0.00,40.1
2021-09-17,0.00,42.5
2021-09-18,0.33,44.9
2021-09-19,0.18,39.1
2021-09-20,0.27,38.8
2021-09-21,0.00,44.4
2021-09-22,0.00,51.4
2021-09-23,0.00,47.7
2021-09-24,0.00,52.1
2021-09-25,0.00,56.9
2021-09-26,0.00,57.9
2021-09-27,0.17,51.5
2021-09-28,0.22,38.7
2021-09-29,0.18,36.1
2021-09-30,0.06,39.5
2021-10-01,0.52,40.7
2021-10-02,0.03,42.2
2021-10-03,0.00,47.1
2021-10-04,0.00,47.3
2021-10-05,0.03,49.1
2021-10-06,0.00,41.2
2021-10-07,0.02,33.3
2021-10-08,0.00,35.0
2021-10-09,0.00,37.0
2021-10-10,0.35,37.7
2021-10-11,0.34,30.5
